Extension,Description
.rgb,RGB Bitmap
.rgb,Q0 Image File
.rif,Raster Image File
.rix,ColorRIX Bitmap Graphic
.rle,Run Length Encoded Bitmap
.rsr,Poser Model Preview File
.sar,Saracen Paint Graphic
.sat,ACIS SAT Model File
.sbk,Scrapbook Factory File
.scg,ColorRIX Bitmap Graphic
.sci,ColorRIX Bitmap Graphic
.scp,ColorRIX Bitmap Graphic
.sct,Scitex Continuous Tone File
.scu,ColorRIX Bitmap Graphic
.scv,ScanVec CASmate Sign File
.sda,OpenOffice.org Draw Document
.sdb,SAP2000 Model File
.sdm,Spatial Data Modeling Language
.sdr,SmartDraw Drawing
.sdt,SmartDraw Template File
.sff,Structured Fax Format
.sfw,Seattle FilmWorks Image
.sgi,Silicon Graphics Image File
.sh3d,Sweet Home 3D Design File
.sh3f,Sweet Home 3D Model Library
.shg,Segmented Hyper-Graphic
.shp,Shapes File
.si,Softimage Image Format
.sid,MrSID Image
.sig,Broderbund Sign File
.sim,Aurora Image
.skp,SketchUp Document
.sldasm,SolidWorks Assembly File
.slddrw,SolidWorks Drawing File
.sldprt,SolidWorks Part File
.smp,Xionics SMP Image Format
.snp,Access Report Snapshot
.sp,SignPlot Traffic Sign File
.spc,Spectrum 512 Compressed Image
.spe,WinSpec CCD Capture File
.spiff,Still Picture Interchange File Format
.spp,PhotoPlus Picture File
.spt,SpeedTree Tree Data File
.spu,Spectrum 512 Image
.sr,Sun Raster Image File
.srf,Sony Raw Image File
.std,StarOffice Drawing Template
.step,STEP 3D Model
.stl,Stereolithography File
.sto,PRO100 3D Interior Design Project
.stp,STEP 3D CAD File
.sun,Sun Raster Graphic
.suniff,Sun TAAC Graphic
.sup,Subtitle Bitmap File
.svg,Scalable Vector Graphics File
.sxd,StarOffice Drawing
.taac,Sun TAAC Graphic
.tcd,Technobox CAD Drawing
.tct,TurboCAD Drawing Template
.tcw,TurboCAD Drawing File
.tcx,TurboCAD 3D Model Text File
.tddd,3D Data Description
.tex,Texture File
.tfw,World File for TIFF
.tga,Targa Graphic
.thm,Thumbnail Image File
.thm,Video Thumbnail File
.thumb,JAlbum Thumbnail File
.tif,Tagged Image File
.tiff,Tagged Image File Format
.tjp,Tiled JPEG File
.tlc,The Logo Creator File
.tn1,Tiny Image (Low Resolution)
.tn2,Tiny Image (Medium Resolution)
.tn3,Tiny Image (High Resolution)
.tny,Atari Tiny Image
.trif,Tiled Raster Interchange Format
.u,Subsampled Raw YUV Image
.u3d,Universal 3D File
.ufo,Ulead File Object
.urt,Utah Raster Toolkit File
.v,Subsampled Raw YUV Image
.v3d,Visual3D.NET Data File
.vda,Targa Bitmap Image File
.vff,Sun TAAC Graphic File
.vic,VICAR Image
.viff,Visualization Image File Format
.vis,Visibility Image File
.vna,JVC JLIP Image
.vrl,VRML Virtual World
.vsd,Visio Drawing File
.vss,Visio Stencil File
.vst,Targa Bitmap Image
.vst,Visio Drawing Template
.vtx,Anim8or 3D Model
.vue,Vue Scene File
.vvd,Vivid 3D Scanner Element File
.vwx,VectorWorks 2008 Design File
.wbmp,Wireless Bitmap Image File
.wdp,Windows Media Photo File
.web,Xara Web Format
.wgs,Walk-Graph Segment
.wi,Wavelet Image
.wic,J Wavelet Image
.wmf,Windows Metafile
.wmp,Windows Media Photo File
.wnk,Wink Screen Capture
.wpg,WordPerfect Graphic File
.wrl,VRML World
.wrp,Geomagic 3D Wrap File
.wrz,VRML World
.x3d,Xara3D Project
.xar,Xara Xtreme Drawing
.xbm,X11 Bitmap Graphic
.xcf,GIMP Image
.xdw,Fuji Xerox DocuWorks File
.xif,ScanSoft Pagis File
.xof,Reality Lab 3D Image File
.xpm,X11 Pixmap Graphic
.xsi,Softimage XSI 3D Image
.xwd,X Windows Dump
.xws,Xara Webstyle Graphic
.y,Subsampled Raw YUV Image
.yal,Arts & Letters Clipart Library
.yaodl,Powerflip 3D Image File
.ydl,Powerflip YAODL 3D Image File
.yuv,YUV Encoded Image File
.zgm,Zenographics Image File
.zif,Zooming Image Format File
.zno,Zinio Electronic Magazine File
.zt,Mental Ray Image Depth File
